PK;Word;Hint
1;Cat;A common household pet
2;Dog;A furry friend
3;Hat;A piece of clothing worn on the head
4;Car;A vehicle with four wheels
5;Cup;A container for holding liquids
6;Sun;A star that provides light and heat to Earth
7;Pen;An instrument used for writing
8;Leg;A body part used for standing and walking
9;Bed;A piece of furniture used for sleeping
10;Bus;A vehicle used for transporting passengers
11;Egg;A common breakfast food
12;Key;An object used for locking and unlocking doors
13;Fan;A device used for creating a cool breeze
14;Lip;A body part used for speaking and kissing
15;Bat;A flying mammal that sleeps during the day
16;Fly;A small flying insect
17;Cow;A common farm animal
18;Hat;A piece of clothing worn on the head
19;Mug;A cylindrical container with a handle
20;Ant;A small insect that lives in colonies
21;Box;A container made of wood, cardboard, or plastic
22;Arm;A body part used for lifting and carrying
23;Rat;A small rodent with a long tail
24;Bee;A flying insect that collects nectar from flowers
25;Pen;A small, enclosed area for keeping animals
26;Map;A visual representation of an area
27;Carrot;A root vegetable that is often orange
28;Can;A container for holding food or beverages
29;Eggplant;A vegetable with a dark purple skin
30;Bathtub;A container for holding water and taking baths
31;Hat;A piece of clothing worn on the head
32;Pen;A writing instrument with ink inside
33;Bus;A large vehicle used for public transportation
34;Sunflower;A tall plant with yellow petals and seeds
35;Nut;A small, hard fruit with an edible kernel
36;Fan;A device used for circulating air
37;Hat;A piece of clothing worn on the head
38;Dog;A furry animal often kept as a pet
39;Lipstick;A cosmetic used for coloring the lips
40;Jam;A sweet spread made from fruit and sugar
41;Hen;A female chicken
42;Beehive;A structure in which bees live and store honey
43;Cap;A type of headwear
44;Bat;A wooden or metal stick used in sports
45;Gum;A sticky substance used for chewing
46;Pot;A container used for cooking on a stove or oven
57;Museum;A building where objects of artistic, cultural, or historical significance are displayed
48;Television;An electronic device used for receiving and displaying television programs
49;Calendar;A system for organizing and recording dates
50;House;
51;Mountain;A large natural elevation of the earth's surface
52;Balloon;A lightweight inflatable sphere used for decoration
53;Aquarium;A container for keeping fish and aquatic plants
54;Pajamas;Loose-fitting clothing worn for sleep or lounging
55;Rainbow;A colorful arch in the sky
56;Microphone;An instrument used for amplifying sound
57;Calendar;A system for organizing and recording dates
58;Furniture;Items used for decorating a room
59;Sandwich;A food item made with bread and fillings
60;Chandelier;A decorative hanging light fixture
61;Baseball;A sport played with a ball and a bat
62;Tornado;A violent, rotating column of air
63;Adventure;An exciting and often risky experience
64;University;A higher education institution offering undergraduate and graduate programs
65;Satellite;An object that orbits around a larger object, such as a planet or moon
66;Pizza;A popular food item made with dough, sauce, and toppings
67;Zucchini;A long, green vegetable often used in cooking
68;Scissors;A tool used for cutting various materials
69;Headphones;A device worn over the ears for listening to audio
70;Jigsaw;A puzzle consisting of small irregularly shaped pieces that are to be fitted together
71;Library;A building containing collections of books and other materials for reading and study
72;Instrument;An object used to make music or measure physical quantities
73;Backpack;A bag worn on the back for carrying personal belongings
74;Calculator;A device used for mathematical calculations
75;Restaurant;A place where food is served to customers
76;Butterfly;An insect with large, colorful wings
77;Cappuccino;A coffee drink made with espresso and milk froth
78;Telephone;A device used for making calls
79;Microwave;An electric oven that uses electromagnetic radiation to cook food
80;Toothbrush;A tool used for cleaning teeth
81;Painting;A picture made with paint or other pigments
82;Backpack;A bag worn on the back for carrying personal belongings
83;Thermometer;A device used for measuring temperature
84;Trampoline;A piece of equipment used for jumping and acrobatics
85;Balcony;A platform projecting from the wall of a building
86;Photography;The art or practice of taking and processing photographs
87;Basketball;A sport played with a ball and a basket
88;Hairstyle;The way in which a person's hair is cut and styled
89;Accomplishment;Something that has been achieved or completed successfully
90;Extravagant;Spending more money or using more resources than is necessary
91;Phenomenon;A fact or situation that is observed to exist or happen
92;Obsequious;Excessively eager to please or obey someone
93;Nostalgia;A sentimental longing for the past or for a past time or place
94;Eccentricity;The quality of being unconventional or strange in behavior
95;Inevitable;"Certain to happen; unavoidable"
96;Cacophony;A harsh, discordant mixture of sounds
97;Entrepreneur;A person who sets up a business or businesses, taking on financial risks in the hope of profit
98;Precipitation;Rain, snow, sleet, or hail that falls to or condenses on the ground
99;Discrepancy;A lack of compatibility or similarity between two or more facts or things
100;Aesthetics;The branch of philosophy that deals with the nature of beauty and taste
101;Dissonance;Lack of harmony among musical notes
102;Eclectic;Deriving ideas, style, or taste from a broad and diverse range of sources
103;Facetious;Treating serious issues with inappropriate humor
104;Grandiose;Impressive or magnificent in appearance or style
105;Histrionic;Overly theatrical or melodramatic
106;Inscrutable;Impossible to understand or interpret
107;Jocularity;"Fond of or characterized by joking; humorous or playful"
108;Kinesthetic;Relating to or involving bodily movement
109;Lethargic;Feeling sluggish and apathetic
110;Intricacy;The quality of being complex or detailed
111;Obfuscation;The action of making something obscure, unclear, or unintelligible
112;Plethora;A large or excessive amount of something
113;Quesadilla;A Mexican dish made with tortillas and cheese, and sometimes other ingredients
